0	32	0.82
0	65	0.56
0	327	0.47
0	679	0.42
0	116	0.66
0	564	0.87
1	160	0.95
1	226	0.21
1	611	0.55
1	72	0.51
1	586	0.80
1	44	0.46
1	835	0.84
1	412	0.28
1	286	0.54
2	707	0.85
2	613	0.50
2	398	0.06
2	725	0.44
2	120	0.60
2	287	0.82
2	318	0.30
2	927	0.38
3	648	0.85
3	553	0.34
3	554	0.84
3	398	0.76
3	117	0.35
3	246	0.01
3	634	0.27
3	234	0.84
4	288	0.15
4	642	0.11
4	931	0.32
4	247	0.93
4	685	0.63
4	82	0.04
4	789	0.03
4	663	0.89
4	857	0.81
4	476	0.04
5	576	0.38
5	161	0.27
5	462	0.93
5	722	0.05
5	371	0.89
5	373	0.46
5	91	0.99
5	350	0.58
6	203	0.32
6	455	0.21
6	937	0.80
6	747	0.34
6	397	0.57
6	399	0.97
6	443	0.51
6	414	0.63
7	578	0.05
7	164	0.30
7	169	0.39
7	523	0.72
7	493	0.97
7	175	0.29
8	560	0.34
8	901	0.63
8	423	0.58
8	744	0.95
8	572	0.20
8	810	0.56
8	784	0.95
8	336	0.51
8	210	0.88
8	435	0.90
8	372	0.32
8	888	0.72
8	602	0.49
8	636	0.99
9	74	0.20
9	237	0.53
9	657	0.93
9	146	0.25
9	405	0.56
9	310	0.29
9	349	0.24
9	85	0.32
10	196	0.80
10	37	0.67
10	332	0.96
10	589	0.54
10	54	0.85
10	471	0.84
10	548	0.54
10	507	0.16
11	672	0.81
11	584	0.25
11	716	0.92
11	562	0.10
11	693	0.46
11	630	0.90
11	153	0.40
11	159	0.16
11	501	0.93
12	545	0.39
12	930	0.63
12	251	0.08
12	869	0.58
12	102	0.12
12	231	0.54
12	266	0.96
12	140	0.46
12	98	0.97
12	110	0.79
12	115	0.02
12	377	0.45
12	635	0.50
12	700	0.18
12	863	0.27
13	577	0.32
13	899	0.81
13	748	0.02
13	853	0.25
13	534	0.02
13	62	0.29
14	514	0.58
14	364	0.82
14	461	0.00
14	272	0.27
14	179	0.28
14	565	0.85
14	281	0.55
14	250	0.48
14	735	0.16
15	994	0.56
15	420	0.14
15	329	0.98
15	874	0.87
15	876	0.90
15	770	0.31
15	207	0.03
15	276	0.19
15	761	0.42
15	508	0.53
15	958	0.64
16	34	0.71
16	839	0.05
16	744	0.23
16	652	0.07
16	560	0.69
16	210	0.94
16	819	0.78
16	756	0.38
16	53	0.57
16	920	0.66
16	313	0.24
16	731	0.10
16	63	0.14
17	993	0.97
17	963	0.21
17	833	0.96
17	617	0.03
17	235	0.06
17	978	0.50
17	24	0.33
17	954	0.26
17	479	0.53
18	972	0.40
18	77	0.92
18	50	0.52
18	885	0.76
18	982	0.52
18	762	0.48
18	283	0.88
18	540	0.21
18	58	0.08
18	830	0.88
19	390	0.95
19	460	0.47
19	746	0.20
19	780	0.30
19	656	0.83
19	312	0.85
19	52	0.14
19	279	0.94
19	696	0.56
19	317	0.25
19	671	0.73
20	896	0.61
20	35	0.17
